loading Antonis manual QC ...
loading King's QC ...
loading struct pipeline QC ...
tagging matteo's blacklisted scans ...
loading matteo's QC ...
820 matteo successes
loading sean's QC ...
590 sean successes
finding images in struct output with at least T2 ...
669 struct pipeline successes
920 scans
352 scans accepted
568 scans rejected
subject,session,accept,antonis1,antonis2,antonis3,antonis,has_struct,matteo,matteo_qc,sean_qc
CC00514XX11,151400,true,,,4,true,true,,true,true,
CC00515XX12,152501,false,,,,,,,false,,
CC00515XX12,152600,false,,,,,,,,,
CC00516XX13,152902,true,,,4,true,true,,true,true,
CC00517XX14,145000,true,,,4,true,true,,true,true,
CC00517XX14,159200,true,,,3,true,true,,true,true,
CC00518XX15,145700,true,,,4,true,true,,true,true,
CC00518XX15,166600,true,,,4,true,true,,true,true,
CC00520XX09,150201,true,,,3,true,true,,true,true,
CC00525XX14,150600,true,,,4,true,true,,true,true,
CC00525XX14,165900,true,,,4,true,true,,true,true,
CC00526XX15,150500,true,,,2,true,true,,true,true,
CC00526XX15,169900,true,,,4,true,true,,true,true,
CC00527XX16,150800,false,,,,,,,false,,
CC00527XX16,184400,,,,,,true,,true,true,
CC00528XX17,152101,false,,,,,,,false,,
CC00528XX17,160600,false,,,,,,,false,,
CC00528XX17,183200,,,,,,true,,true,true,
CC00529AN18,151300,true,,,3,true,true,,true,true,
CC00529AN18,170000,true,,,4,true,true,,true,true,
CC00529BN18,151200,true,,,4,true,true,,true,true,
CC00529BN18,160700,false,,,,,,,false,,
CC00529BN18,170100,true,,,3,true,true,,true,true,
CC00530XX11,152300,false,,,2,true,true,,false,,
CC00530XX11,153600,true,,,2,true,true,,true,true,
CC00530XX11,181301,,,,,,true,,true,true,
CC00532XX13,154200,true,,,3,true,true,,true,true,
CC00534XX15,155100,true,,,4,true,true,,true,true,
CC00535XX16,155600,true,4,4,4,true,true,,true,true,
CC00536XX17,156900,true,,,4,true,true,,true,true,
CC00537XX18,157100,false,,,3,true,,,false,,
